date,cash,positions_value,total_equity,daily_return
2025-01-02,100000000.0,0.0,100000000.0,0.0
2025-01-03,100000000.0,0.0,100000000.0,0.0
2025-01-06,100000000.0,0.0,100000000.0,0.0
2025-01-07,100000000.0,0.0,100000000.0,0.0
2025-01-08,100000000.0,0.0,100000000.0,0.0
2025-01-09,100000000.0,0.0,100000000.0,0.0
2025-01-10,100000000.0,0.0,100000000.0,0.0
2025-01-13,100000000.0,0.0,100000000.0,0.0
2025-01-14,100000000.0,0.0,100000000.0,0.0
2025-01-15,100000000.0,0.0,100000000.0,0.0
2025-01-16,100000000.0,0.0,100000000.0,0.0
2025-01-17,100000000.0,0.0,100000000.0,0.0
2025-01-20,100000000.0,0.0,100000000.0,0.0
2025-01-21,100000000.0,0.0,100000000.0,0.0
2025-01-22,100000000.0,0.0,100000000.0,0.0
2025-01-23,331994.537374,99106032.0,99438026.537374,-0.0056197346
2025-01-24,331994.537374,99051286.0,99383280.537374,-0.000550554
2025-01-31,331994.537374,98945690.0,99277684.537374,-0.0010625127
2025-02-03,331994.537374,97893475.0,98225469.537374,-0.0105987061
2025-02-04,331994.537374,98255991.0,98587985.537374,0.0036906517
2025-02-05,2855.386016,99333540.0,99336395.386016,0.0075912886
2025-02-06,2855.386016,99909533.0,99912388.386016,0.0057984085
2025-02-07,2855.386016,100241283.0,100244138.386016,0.0033204091
2025-02-10,2855.386016,100275828.0,100278683.386016,0.0003446087
2025-02-11,2855.386016,99945248.0,99948103.386016,-0.0032966129
2025-02-12,2855.386016,99744532.0,99747387.386016,-0.0020082022
2025-02-13,2855.386016,99778715.0,99781570.386016,0.0003426957
2025-02-14,2855.386016,100110469.0,100113324.386016,0.0033248024
2025-02-17,949126.488189,99540476.0,100489602.488189,0.0037585217
2025-02-18,949126.488189,99572301.0,100521427.488189,0.0003166994
2025-02-19,949126.488189,100208989.0,101158115.488189,0.0063338535
2025-02-20,949126.488189,100366659.0,101315785.488189,0.001558649
2025-02-21,949126.488189,100859497.0,101808623.488189,0.0048643753
2025-02-24,949126.488189,101834223.0,102783349.488189,0.0095741006
2025-02-25,1801816.35875,100666916.0,102468732.35875,-0.0030609737
2025-02-26,1801816.35875,101198979.0,103000795.35875,0.0051924425
2025-02-27,1801816.35875,101116314.0,102918130.35875,-0.0008025666
2025-02-28,1801816.35875,100500162.0,102301978.35875,-0.0059868169
2025-03-04,1801816.35875,100423079.0,102224895.35875,-0.0007534849
2025-03-05,1801816.35875,100582949.0,102384765.35875,0.0015639048
2025-03-06,1801816.35875,100737062.0,102538878.35875,0.0015052337
2025-03-07,1801816.35875,100589372.0,102391188.35875,-0.0014403317
2025-03-10,1801816.35875,100638227.0,102440043.35875,0.0004771407
2025-03-11,1801816.35875,100905679.0,102707495.35875,0.002610815
2025-03-12,1801816.35875,100857029.0,102658845.35875,-0.0004736753
2025-03-13,1801816.35875,100530230.0,102332046.35875,-0.0031833497
2025-03-14,1801816.35875,100581936.0,102383752.35875,0.0005052767
2025-03-17,1801816.35875,100221619.0,102023435.35875,-0.0035192791
2025-03-18,1801816.35875,99800066.0,101601882.35875,-0.0041319232
2025-03-19,1801816.35875,99684643.0,101486459.35875,-0.0011360321
2025-03-20,688608.732388,100268190.0,100956798.732388,-0.0052190275
2025-03-21,151.866023,101308262.0,101308413.866023,0.0034828277
2025-03-24,151.866023,102524732.0,102524883.866023,0.012007591
2025-03-25,151.866023,102350427.0,102350578.866023,-0.0017001238
2025-03-26,3194161.169499,99446354.0,102640515.169499,0.0028327764
2025-03-27,2052078.504132,100082903.0,102134981.504132,-0.0049252838
2025-03-28,2052078.504132,99067405.0,101119483.504132,-0.0099427051
2025-03-31,817143.635999,99608830.0,100425973.635999,-0.0068583209
2025-04-01,817143.635999,100693616.0,101510759.635999,0.010801847
2025-04-02,817143.635999,100313601.0,101130744.635999,-0.0037435933
2025-04-03,817143.635999,99709265.0,100526408.635999,-0.0059757891
2025-04-04,27452.899136,101818967.0,101846419.899136,0.01313099
2025-04-07,27452.899136,100438444.0,100465896.899136,-0.0135549487
2025-04-08,7810.496967,101128140.0,101135950.496967,0.0066694632
2025-04-09,7810.496967,100498395.0,100506205.496967,-0.0062267176
2025-04-10,7810.496967,101622632.0,101630442.496967,0.0111857471
2025-04-11,7810.496967,101899006.0,101906816.496967,0.0027194017
2025-04-14,7810.496967,103440655.0,103448465.496967,0.0151280263
2025-04-15,3883341.19408,100323573.0,104206914.19408,0.0073316573
2025-04-16,3883341.19408,99910222.0,103793563.19408,-0.003966637
2025-04-17,3883341.19408,100384537.0,104267878.19408,0.0045697921
2025-04-18,3883341.19408,100968752.0,104852093.19408,0.0056030199
2025-04-21,3883341.19408,101551469.0,105434810.19408,0.0055575142
2025-04-22,3883341.19408,101896634.0,105779975.19408,0.003273729
2025-04-23,4213036.286832,102636409.0,106849445.286832,0.0101103266
2025-04-24,4213036.286832,103071594.0,107284630.286832,0.0040728803
2025-04-25,3971105.842926,103748990.0,107720095.842926,0.0040589743
2025-04-28,3971105.842926,103735090.0,107706195.842926,-0.0001290381
2025-04-29,3971105.842926,104359035.0,108330140.842926,0.0057930279
2025-04-30,3971105.842926,104318001.0,108289106.842926,-0.0003787865
2025-05-02,3971105.842926,103877074.0,107848179.842926,-0.0040717577
2025-05-07,3971105.842926,103585343.0,107556448.842926,-0.0027050155
2025-05-08,3971105.842926,104025638.0,107996743.842926,0.0040936179
2025-05-09,3971105.842926,103761011.0,107732116.842926,-0.0024503239
2025-05-12,3971105.842926,104500378.0,108471483.842926,0.0068630138
2025-05-13,3971105.842926,104332527.0,108303632.842926,-0.0015474205
2025-05-14,3971105.842926,104703349.0,108674454.842926,0.003423911
2025-05-15,3971105.842926,105119655.0,109090760.842926,0.0038307623
2025-05-16,4831065.920332,104379307.0,109210372.920332,0.0010964455
2025-05-19,4831065.920332,104289273.0,109120338.920332,-0.0008244089
2025-05-20,4831065.920332,104791080.0,109622145.920332,0.0045986569
2025-05-21,4831065.920332,105054948.0,109886013.920332,0.0024070684
2025-05-22,4831065.920332,106888825.0,111719890.920332,0.0166889028
2025-05-23,4254465.722847,106908404.0,111162869.722847,-0.0049858731
