ticker,entry_date,exit_date,entry_price,exit_price,quantity,entry_cost,exit_cost,gross_pnl,net_pnl,return_pct,reason
001080,2025-01-23,2025-02-05,2622.62,2397.6,3808,1498.040544,22368.64896,-856876.16,-880742.849504,-0.0881762608,daily_close_stop_loss_0.08
000590,2025-01-23,2025-02-17,67067.0,73926.0,149,1498.94745,26986.6863,1021991.0,993505.36625,0.099405389,exit condition matched
001360,2025-01-23,2025-02-25,1490.489,1664.334,6685,1494.587845,27258.878336,1162153.825,1133400.35882,0.1137333993,exit condition matched
002880,2025-02-25,2025-03-20,1012.011,890.109,10123,1536.688103,22075.904847,-1234013.946,-1257626.53895,-0.1227416859,daily_close_stop_loss_0.08
001000,2025-01-23,2025-03-21,943.943,867.132,10598,1500.586187,22515.169093,-814042.978,-838058.73328,-0.0837605714,daily_close_stop_loss_0.08
001080,2025-02-17,2025-03-26,2182.18,2927.07,4601,1506.031527,32995.250221,3427238.89,3392737.608252,0.3378643189,exit condition matched
002210,2025-01-23,2025-03-27,2064.062,1885.113,4814,1490.45917,22233.588256,-861460.486,-885184.533426,-0.089071723,daily_close_stop_loss_0.08
001470,2025-03-21,2025-03-31,394.394,353.646,24986,1478.149273,21648.687442,-1018129.528,-1041256.364715,-0.1056490253,daily_close_stop_loss_0.08
000480,2025-03-20,2025-04-04,5355.35,4930.065,1886,1515.028515,22780.351345,-802087.51,-826382.88986,-0.0818062772,daily_close_stop_loss_0.08
000440,2025-03-31,2025-04-08,13633.62,12467.52,737,1507.196691,22511.977488,-859415.7,-883434.874179,-0.0879084711,daily_close_stop_loss_0.08
001500,2025-03-26,2025-04-08,5745.74,5274.72,1782,1535.836302,23028.900048,-839357.64,-863922.37635,-0.0843637574,daily_close_stop_loss_0.08
001210,2025-03-27,2025-04-15,633.633,889.11,16087,1528.988111,35042.625796,4109858.499,4073286.885093,0.3995462053,exit condition matched
001940,2025-01-23,2025-04-23,18618.6,20679.3,534,1491.34986,27054.72819,1100413.8,1071867.72195,0.107792309,exit condition matched
001810,2025-01-23,2025-04-25,1501.5,1593.405,6625,1492.115625,25862.954906,608870.625,581515.554469,0.0584500622,exit condition matched
000070,2025-04-04,2025-05-16,37272.235,43464.492,270,1509.525517,28751.761458,1671909.39,1641648.103025,0.1631044199,exit condition matched
000230,2025-02-05,2025-05-23,6236.23,7002.99,1513,1415.312398,25959.033481,1160107.88,1132733.53412,0.1200332503,exit condition matched
001430,2025-04-15,2025-05-28,15815.8,20979.0,657,1558.64709,33768.84735,3392222.4,3356894.90556,0.3230100773,exit condition matched
000140,2025-04-08,2025-05-29,8308.3,8861.13,1117,1392.055665,24249.811414,617511.11,591869.24292,0.0637668978,exit condition matched
000640,2025-01-23,2025-05-29,89340.251,104786.109,111,1487.515179,28496.582343,1714490.238,1684506.140478,0.1698389562,exit condition matched
000020,2025-04-08,2025-06-11,5795.79,6713.28,1601,1391.858968,26332.505136,1468901.49,1441177.125896,0.1552917014,exit condition matched
002630,2025-06-11,2025-06-24,908.908,800.199,12664,1726.561637,24827.614333,-1376690.776,-1403244.95197,-0.1218926507,daily_close_stop_loss_0.08
000520,2025-06-24,2025-09-08,10120.11,11488.5,1127,1710.804595,31721.471775,1542175.53,1508743.25363,0.1322638173,exit condition matched
001530,2025-05-16,2025-09-24,33890.857,20931.048,320,1626.761136,16409.941632,-4147138.88,-4165175.582768,-0.3840039089,daily_close_stop_loss_0.08
004830,2025-05-28,2025-09-29,5715.71,5214.78,1978,1695.851157,25271.345358,-990839.54,-1017806.736515,-0.0900126834,daily_close_stop_loss_0.08
002710,2025-05-23,2025-10-13,16936.92,15214.77,658,1671.674004,24527.730717,-1133174.7,-1159374.104721,-0.1040155158,daily_close_stop_loss_0.08
000210,2025-09-29,2025-10-30,36186.15,41658.3,296,1606.66506,30210.59916,1619756.4,1587939.13578,0.1482294929,exit condition matched
000320,2025-10-13,2025-11-04,24624.6,22477.5,427,1577.20563,23514.836625,-916811.7,-941903.742255,-0.089566236,daily_close_stop_loss_0.08
000180,2025-10-30,2025-11-07,8043.035,7192.8,1335,1610.617759,23525.8506,-1135063.725,-1160200.193359,-0.1080355208,daily_close_stop_loss_0.08
000480,2025-09-08,2025-12-03,4994.99,5004.99,2261,1694.050858,27724.891855,22610.0,-6808.942714,-0.0006028085,exit condition matched
000390,2025-11-04,2025-12-18,5635.63,6383.61,1888,1596.010416,29528.026416,1412186.24,1381062.203168,0.1297787653,exit condition matched
003560#S01,2025-04-25,2026-01-07,10770.76,599.4,1000,1615.614,1468.53,-10171360.0,-10174444.144,-0.944494001,daily_close_stop_loss_0.08
000040,2025-11-07,2026-01-09,454.454,402.597,22188,1512.513803,21885.414478,-1150603.116,-1174001.044281,-0.1164113314,daily_close_stop_loss_0.08
000300,2025-01-23,2026-01-15,1985.984,4195.8,5034,1499.616518,51748.06014,11124213.744,11070966.067342,1.1072136312,exit condition matched
001140#S01,2025-01-23,2026-01-19,2112.11,73.926,4718,1494.740247,854.518027,-9616152.112,-9618501.370274,-0.9650899711,daily_close_stop_loss_0.08
002150,2025-09-24,2026-02-06,6296.29,6593.4,1717,1621.609489,27736.12611,510137.87,480780.1344,0.0444658253,exit condition matched
000020,2026-01-09,2026-02-20,5945.94,6583.41,1500,1337.8365,24194.03175,956205.0,930673.13175,0.1043326541,exit condition matched
003060,2026-02-20,2026-02-27,6173.167,5603.391,1655,1532.488708,22720.349657,-942979.28,-967232.118365,-0.0946584843,daily_close_stop_loss_0.08
0001A0,2026-02-27,2026-03-04,21671.65,19650.33,462,1501.845345,22242.208527,-933849.84,-957593.893872,-0.095627384,daily_close_stop_loss_0.08
000040,2026-01-15,2026-03-05,407.407,355.644,26913,1644.681689,23450.045081,-1393097.619,-1418192.34577,-0.1293240806,daily_close_stop_loss_0.08
000080,2026-01-07,2026-03-05,18128.11,16873.11,120,326.30598,4960.69434,-150600.0,-155887.00032,-0.0716491408,daily_close_stop_loss_0.08
000100,2026-01-19,2026-03-05,108108.0,96803.1,92,1491.8904,21819.41874,-1040050.8,-1063362.10914,-0.1068981973,daily_close_stop_loss_0.08
0008Z0,2025-12-18,2026-03-05,28528.5,27672.3,382,1634.68305,25898.50557,-327068.4,-354601.58862,-0.0325336835,daily_close_stop_loss_0.08
0001A0,2026-03-05,2026-03-31,18568.55,16913.07,422,1175.389215,17486.423073,-698612.56,-717274.372288,-0.0915228915,daily_close_stop_loss_0.08
000650,2026-03-05,2026-04-01,232232.0,211788.0,33,1149.5484,17123.0598,-674652.0,-692924.6082,-0.0904034165,daily_close_stop_loss_0.08
002880,2026-02-06,2026-04-01,999.999,917.082,10062,1509.298491,22607.813756,-834310.854,-858427.966246,-0.0853011409,daily_close_stop_loss_0.08
0011A0,2026-03-31,2026-04-13,22872.85,20279.7,311,1067.018452,15452.117415,-806469.65,-822988.785867,-0.1156772904,daily_close_stop_loss_0.08
000680,2026-03-05,2026-04-24,2977.975,3776.22,2696,1204.29309,24942.688344,2152068.52,2125921.538566,0.264753163,exit condition matched
000230,2026-03-05,2026-05-08,10010.0,9020.97,783,1175.6745,17305.377799,-774410.49,-792891.542299,-0.1011469535,daily_close_stop_loss_0.08
0007J0,2026-04-24,2026-05-08,21721.7,19920.06,437,1423.857435,21327.412239,-787316.68,-810067.949674,-0.0853259362,daily_close_stop_loss_0.08
001380,2026-04-13,2026-05-12,2202.2,1843.155,2856,943.42248,12896.924166,-1025432.52,-1039272.866646,-0.1652150051,daily_close_stop_loss_0.08
000650,2026-05-08,2026-05-15,188288.1,303196.5,43,1214.458245,31941.751275,4941061.2,4907904.99048,0.6060935732,exit condition matched
002200,2026-04-01,2026-05-20,2827.825,2582.415,2887,1224.589616,18265.808657,-708498.67,-727989.068274,-0.0891580179,daily_close_stop_loss_0.08
